drugbank_target_id,guideto_target_id
O15296,1389
P16050,1388
P08195,890
O64530,1446
F1LQ70,1387
P50554,2464
Q07011,1878
P32754,2621
P19327,1
P28334,2
P30939,5
Q9VN38,6
P28566,4
P28221,3
P46098,379
P28335,8
Q02152,7
Q13639,9
Q9LUW0,1385
P35364,10
P50406,11
P34969,12
P35365,648
Q16877,2937
O95477,756
P08183,768
O35379,779
O15439,782
Q92887,780
O60706,2746
Q9R1X5,783
O95342,778
Q9UNQ0,792
A0A6I8N2P3,2465
P00520,1923
P00520,1924
O00400,1134
P25106,80
Q9NPB9,315
Q29016,2327
O15527,3060
P24182,1264
Q5SWU9,1263
Q3TFD2,2436
Q8BYI6,2435
Q8NER5,1790
P36896,2588
P36896,1787
A0A2I2UHL4,2328
P27037,1791
O35298,2873
O14672,1658
P78536,1662
Q9BZ11,1673
O43184,1660
P78325,1656
Q13443,1657
O75173,1677
Q9UHI8,1674
Q13705,1792
Q9ES52,1784
Q9UNA0,1678
Q9NII1,1230
P40146,1279
P40136,1278
Q96PN6,3068
O88444,1283
Q86Y34,188
O14514,174
O15530,1519
O95490,207
O94910,206
Q9HAR2,208
Q43295,1231
P36897,1785
P42330,1382
Q9H6R3,3128
P30803,1282
Q62151,2843
Q9UM73,1839
Q9XTG7,1480
Q8K9I1,3070
Q9Y243,2286
P31750,1479
P38138,2611
P43007,874
Q8K9I1,2919
Q8K9I1,22
Q8K9I1,23
Q8K9I1,24
Q8K9I1,25
Q8K9I1,27
Q8K9I1,26
Q9NZ08,1559
P97449,1560
Q3LXA3,1540
P30838,2466
G5EEM0,49
P19801,2767
Q92667,44
Q8CD91,45
P61312,50
Q7XX84,46
Q13772,628
Q9JHW9,2595
Q9BYF1,1613
Q02094,1198
P79960,36
Q9QXP0,1200
P30301,687
P04746,2596
P43246,2589
P29972,688
P41181,689
Q96PS8,697
P55064,692
Q92482,690
Q13520,693
O94778,695
O14520,694
O43315,696
Q9BYF1,1614
P10398,1933
P45376,2768
Q9HAU8,1564
O08691,1244
P35869,2951
O35240,686
P55926,684
Q62962,685
P78540,1245
Q9UN76,937
Q5EAK6,1934
P02743,2839
Q2M2I8,1921
P20648,849
Q9FKS4,1935
P68104,18
Q61618,21
P29274,19
B2RUS7,2594
P29276,20
Q13822,2901
P97477,1936
Q96GD4,1937
O88445,1938
P30530,1835
Q5ZPR3,2938
P50052,35
P30556,34
Q96RJ3,1886
Q96CA5,2791
P35613,3127
Q96CA5,2795
Q96CA5,2792
P55011,969
Q96CA5,2794
Q96N66,38
Q07817,2844
A0A385BIM1,39
Q07817,2845
A0A385BIK7,40
Q9Z0F3,2846
P25098,1466
P56818,2330
P25098,1467
B2GUV8,2957
P56817,2331
G5EBN9,932
P10721,1940
Q15722,267
Q9NPC1,268
Q8K9I1,30
Q9NSY1,1941
Q06124,1942
Q8K9I1,28
Q8K9I1,29
P40259,1889
Q04982,1943
Q78EA7,2333
Q13873,2586
O00238,1789
Q78EA7,1786
Q9ULD4,2731
Q13873,1794
Q7JJ13,2724
O95696,2730
O95696,1944
P0A1A5,2893
Q91Y44,2725
Q9ESU6,1945
Q9NSI6,2728
Q91Y44,2729
O88665,2726
Q06187,1948
Q12830,2723
D3ZML2,1947
D3ZML2,1946
Q9D687,939
Q8BG16,940
O60566,1949
P06276,2471
O00481,2948
P97583,41
P30411,42
A8K7I4,708
O09047,31
P06684,33
Q8BW96,1953
Q96RR4,1556
Q9UIF8,2722
Q13557,1558
O35350,2336
P17655,2337
Q3Y416,1554
O43570,2747
P18761,2597
Q13555,1557
Q8N1Q1,2748
Q9WVT6,2598
O85042,3092
P23280,2599
P43166,2749
Q8VBY2,1956
P23589,3093
P20507,3055
P19835,2872
P23953,2592
P15085,1587
P42787,1593
Q96IY4,1594
O88831,1957
P15169,1597
P48730,1997
P49674,1998
P14384,1596
P78368,1999
Q9XTW2,1548
Q8WQ99,2000
Q9Y6M4,2001
Q2LKU9,1617
P31944,1627
Q9TZP5,1618
P70343,1619
P70343,1620
P51878,1621
P55210,1623
Q8C3Q9,1622
Q14790,1624
P55211,1625
Q9QZS8,54
Q8NEV1,1550
Q13936,529
Q99246,530
P07293,528
O60840,531
O00555,532
O55017,533
Q15878,534
O43497,535
O95180,536
Q92405,2979
Q9Z0Y8,537
P21964,2472
P10619,1581
P07858,2343
P49935,2344
P24268,2345
Q8NEV1,1549
Q9UBX1,2347
P49935,2349
P43235,2350
P06797,2351
Q94K85,2348
P24268,2352
P14091,2346
Q91ZR5,388
Q9UBR2,2354
Q96P56,389
Q80W99,390
Q7RTX7,391
P16152,1383
P47746,56
P30551,76
P34972,57
P32239,77
P51675,58
O00590,67
Q95029,2353
P51683,59
P51678,60
P51681,62
Q9ULM6,61
P51685,65
P32248,64
P51684,63
P51686,66
O00421,78
P08571,3126
P25918,2764
P15813,2997
P35329,2786
P41272,1876
Q96JQ5,2628
P31041,2863
O95400,2600
P20138,2601
Q64244,2766
B9WFG1,3104
P28908,1877
P11049,3010
P31358,2602
P06731,2836
P06332,2995
P04441,2840
P29965,1874
P30203,2917
P07766,2742
P40259,2852
Q9ZWB3,1995
Q00609,2744
P42082,2745
Q6DT37,1991
